Positive if Greater Than or Equal To;Sensitivity;1 - Specificity;Specificity;Youden's J;EMGO;Sum of Squares;Farrar
-1,801;1;1;0;0;1;1;1
-0,789;0,999107939;1;0;-0,000892061;1,000892061;1,000000796;0,999107939
-0,7725;0,999107939;0,998171846;0,001828154;0,000936093;0,999063907;0,996347831;0,997279786
-0,7655;0,999107939;0,996343693;0,003656307;0,002764246;0,997235754;0,99270155;0,995451632
-0,759;0,999107939;0,994515539;0,005484461;0,0045924;0,9954076;0,989061954;0,993623479
-0,749;0,999107939;0,992687386;0,007312614;0,006420554;0,993579446;0,985429042;0,991795325
-0,725;0,999107939;0,990859232;0,009140768;0,008248707;0,991751293;0,981802814;0,989967172
-0,706;0,999107939;0,989031079;0,010968921;0,010076861;0,989923139;0,97818327;0,988139018
-0,6885;0,999107939;0,985374771;0,014625229;0,013733168;0,986266832;0,970964236;0,984482711
-0,6545;0,999107939;0,983546618;0,016453382;0,015561321;0,984438679;0,967364745;0,982654557
-0,6365;0,999107939;0,981718464;0,018281536;0,017389475;0,982610525;0,963771939;0,980826404
-0,636;0,999107939;0,979890311;0,020109689;0,019217629;0,980782371;0,960185817;0,97899825
-0,6195;0,999107939;0,978062157;0,021937843;0,021045782;0,978954218;0,956606379;0,977170097
-0,5965;0,998215879;0,970749543;0,029250457;0,027466336;0,972533664;0,942357858;0,968965422
-0,561;0,998215879;0,967093236;0,032906764;0,031122643;0,968877357;0,93527251;0,965309115
-0,532;0,998215879;0,967093236;0,032906764;0,031122643;0,968877357;0,93527251;0,965309115
-0,531;0,996431757;0,946983547;0,053016453;0,049448211;0,950551789;0,89679057;0,943415304
-0,516;0,996431757;0,945155393;0,054844607;0,051276364;0,948723636;0,893331449;0,94158715
-0,501;0,996431757;0,943327239;0,056672761;0,053104518;0,946895482;0,889879013;0,939758997
-0,493;0,996431757;0,941499086;0,058500914;0,054932671;0,945067329;0,886433261;0,937930843
-0,4845;0,996431757;0,939670932;0,060329068;0,056760825;0,943239175;0,882994193;0,93610269
-0,473;0,996431757;0,936014625;0,063985375;0,060417132;0,939582868;0,876136111;0,932446383
-0,462;0,995539697;0,936014625;0,063985375;0,059525071;0,940474929;0,876143273;0,931554322
-0,4475;0,995539697;0,934186472;0,065813528;0,061353225;0,938646775;0,872724258;0,929726168
-0,431;0,994647636;0,934186472;0,065813528;0,060461164;0,939538836;0,872733012;0,928834108
-0,413;0,994647636;0,932358318;0,067641682;0,062289318;0,937710682;0,869320681;0,927005954
-0,398;0,994647636;0,932358318;0,067641682;0,062289318;0,937710682;0,869320681;0,927005954
-0,395;0,992863515;0,928702011;0,071297989;0,064161504;0,935838496;0,862538355;0,921565526
-0,392;0,992863515;0,928702011;0,071297989;0,064161504;0,935838496;0,862538355;0,921565526
-0,3785;0,991971454;0,926873857;0,073126143;0,065097597;0,934902403;0,859159605;0,918845311
-0,3635;0,991971454;0,925045704;0,074954296;0,06692575;0,93307425;0,855774012;0,917017158
-0,3585;0,991971454;0,92321755;0,07678245;0,068753904;0,931246096;0,852395103;0,915189004
-0,3475;0,991971454;0,921389397;0,078610603;0,070582057;0,929417943;0,849022878;0,913360851
-0,337;0,991971454;0,919561243;0,080438757;0,072410211;0,927589789;0,845657337;0,911532697
-0,333;0,991971454;0,91773309;0,08226691;0,074238364;0,925761636;0,842298481;0,909704544
-0,331;0,991971454;0,915904936;0,084095064;0,076066518;0,923933482;0,838946309;0,90787639
-0,3285;0,991971454;0,914076782;0,085923218;0,077894672;0,922105328;0,835600822;0,906048237
-0,327;0,991971454;0,908592322;0,091407678;0,083379132;0,916620868;0,825604465;0,900563776
-0,302;0,991079393;0,904936015;0,095063985;0,086143379;0,913856621;0,818988768;0,896015408
-0,273;0,990187333;0,904936015;0,095063985;0,085251318;0,914748682;0,819005479;0,895123347
-0,266;0,989295272;0,903107861;0,096892139;0,086187411;0,913812589;0,8157184;0,892403133
-0,2595;0,989295272;0,8976234;0,1023766;0,091671872;0,908328128;0,80584236;0,886918672
-0,2505;0,989295272;0,895795247;0,104204753;0,093500025;0,906499975;0,802563715;0,885090519
-0,2445;0,989295272;0,893967093;0,106032907;0,095328179;0,904671821;0,799291755;0,883262365
-0,242;0,988403211;0,89213894;0,10786106;0,096264272;0,903735728;0,796046373;0,880542151
-0,239;0,988403211;0,888482633;0,111517367;0,099920579;0,900079421;0,789535874;0,876885844
-0,237;0,988403211;0,886654479;0,113345521;0,101748732;0,898251268;0,786290651;0,87505769
-0,2235;0,988403211;0,884826325;0,115173675;0,103576886;0,896423114;0,783052112;0,873229537
-0,211;0,987511151;0,884826325;0,115173675;0,102684825;0,897315175;0,783073597;0,872337476
-0,208;0,987511151;0,882998172;0,117001828;0,104512979;0,895487021;0,779841743;0,870509323
-0,2045;0,987511151;0,881170018;0,118829982;0,106341132;0,893658868;0,776616572;0,868681169
-0,203;0,98661909;0,881170018;0,118829982;0,105449072;0,894550928;0,77663965;0,867789108
-0,194;0,98661909;0,879341865;0,120658135;0,107277225;0,892722775;0,773421164;0,865960955
-0,185;0,98661909;0,877513711;0,122486289;0,109105379;0,890894621;0,770209362;0,864132801
-0,18;0,985727029;0,877513711;0,122486289;0,108213318;0,891786682;0,770234031;0,863240741
-0,1755;0,985727029;0,875685558;0,124314442;0,110041472;0,889958528;0,767028913;0,861412587
-0,175;0,985727029;0,87202925;0,12797075;0,113697779;0,886302221;0,760638731;0,85775628
