Positive if Greater Than or Equal To;Sensitivity;1 - Specificity;Specificity;Youden's J;EMGO;Sum of Squares;Farrar
-101;1;1;0;0;1;1;1
-99,5;1;0,999148936;0,000851064;0,000851064;0,999148936;0,998298597;0,999148936
-97,5;1;0,998297872;0,001702128;0,001702128;0,998297872;0,996598642;0,998297872
-95,5;1;0,997446809;0,002553191;0,002553191;0,997446809;0,994900136;0,997446809
-93,5;1;0,996595745;0,003404255;0,003404255;0,996595745;0,993203078;0,996595745
-91,5;1;0,994893617;0,005106383;0,005106383;0,994893617;0,989813309;0,994893617
-90,5;1;0,992340426;0,007659574;0,007659574;0,992340426;0,98473952;0,992340426
-89,5;1;0,989787234;0,010212766;0,010212766;0,989787234;0,979678769;0,989787234
-88,5;1;0,985531915;0,014468085;0,014468085;0,985531915;0,971273155;0,985531915
-87;1;0,980425532;0,019574468;0,019574468;0,980425532;0,961234224;0,980425532
-85,5;1;0,97787234;0,02212766;0,02212766;0,97787234;0,956234314;0,97787234
-84,5;1;0,970212766;0,029787234;0,029787234;0,970212766;0,941312811;0,970212766
-83,5;1;0,969361702;0,030638298;0,030638298;0,969361702;0,93966211;0,969361702
-82,5;1;0,965106383;0,034893617;0,034893617;0,965106383;0,93143033;0,965106383
-81,5;1;0,961702128;0,038297872;0,038297872;0,961702128;0,924870982;0,961702128
-80,5;1;0,96;0,04;0,04;0,96;0,9216;0,96
-79,5;1;0,951489362;0,048510638;0,048510638;0,951489362;0,905332005;0,951489362
-78,5;1;0,947234043;0,052765957;0,052765957;0,947234043;0,897252331;0,947234043
-77,5;1;0,942978723;0,057021277;0,057021277;0,942978723;0,889208873;0,942978723
-76,5;1;0,938723404;0,061276596;0,061276596;0,938723404;0,88120163;0,938723404
-75,5;1;0,931914894;0,068085106;0,068085106;0,931914894;0,868465369;0,931914894
-74,5;1;0,924255319;0,075744681;0,075744681;0,924255319;0,854247895;0,924255319
-73,5;1;0,92;0,08;0,08;0,92;0,8464;0,92
-72,5;1;0,908085106;0,091914894;0,091914894;0,908085106;0,82461856;0,908085106
-71,5;1;0,906382979;0,093617021;0,093617021;0,906382979;0,821530104;0,906382979
-70,5;1;0,900425532;0,099574468;0,099574468;0,900425532;0,810766139;0,900425532
-69,5;1;0,881702128;0,118297872;0,118297872;0,881702128;0,777398642;0,881702128
-68,5;1;0,873191489;0,126808511;0,126808511;0,873191489;0,762463377;0,873191489
-67,5;1;0,864680851;0,135319149;0,135319149;0,864680851;0,747672974;0,864680851
-66,5;0,996978852;0,858723404;0,141276596;0,138255448;0,861744552;0,737415012;0,855702256
-65,5;0,993957704;0,854468085;0,145531915;0,139489619;0,860510381;0,730152218;0,848425789
-64,5;0,990936556;0,838297872;0,161702128;0,152638684;0,847361316;0,702825469;0,829234428
-63,5;0,990936556;0,830638298;0,169361702;0,160298258;0,839701742;0,690042128;0,821574854
-62,5;0,990936556;0,824680851;0,175319149;0,166255705;0,833744295;0,680180652;0,815617407
-61,5;0,987915408;0,81787234;0,18212766;0,170043067;0,829956933;0,669061203;0,805787748
-60,5;0,987915408;0,811914894;0,188085106;0,176000514;0,823999486;0,659351832;0,799830301
-59,5;0,98489426;0,794893617;0,205106383;0,190000643;0,809999357;0,632084046;0,779787877
-58,5;0,981873112;0,789787234;0,210212766;0,192085878;0,807914122;0,624092459;0,771660346
-57,5;0,978851964;0,783829787;0,216170213;0,195022177;0,804977823;0,614836375;0,762681751
-56,5;0,978851964;0,778723404;0,221276596;0,200128559;0,799871441;0,60685738;0,757575368
-55,5;0,978851964;0,773617021;0,226382979;0,205234942;0,794765058;0,598930535;0,752468985
-54,5;0,972809668;0,754042553;0,245957447;0,218767114;0,781232886;0,569319486;0,726852221
-53,5;0,972809668;0,74893617;0,25106383;0,223873497;0,776126503;0,561644701;0,721745838
-52,5;0,972809668;0,742978723;0,257021277;0,229830944;0,770169056;0,552756698;0,715788391
-51,5;0,972809668;0,736170213;0,263829787;0,236639455;0,763360545;0,542685896;0,70897988
-50,5;0,972809668;0,730212766;0,269787234;0,242596902;0,757403098;0,533949998;0,703022434
-49,5;0,96978852;0,70212766;0,29787234;0,26766086;0,73233914;0,493895984;0,671916179
-48,5;0,966767372;0,692765957;0,307234043;0,274001414;0,725998586;0,481029079;0,659533329
-47,5;0,966767372;0,679148936;0,320851064;0,287618435;0,712381565;0,462347685;0,645916308
-46,5;0,954682779;0,668085106;0,331914894;0,286597673;0,713402327;0,44839136;0,622767886
-45,5;0,954682779;0,659574468;0,340425532;0,295108311;0,704891689;0,437092129;0,614257248
-44,5;0,945619335;0,632340426;0,367659574;0,31327891;0,68672109;0,40281167;0,577959761
-43,5;0,945619335;0,625531915;0,374468085;0,32008742;0,67991258;0,394247433;0,57115125
-42,5;0,945619335;0,612765957;0,387234043;0,332853378;0,667146622;0,378439375;0,558385293
-41,5;0,942598187;0,603404255;0,396595745;0,339193932;0,660806068;0,367391663;0,546002443
-40,5;0,942598187;0,596595745;0,403404255;0,346002443;0,653997557;0,359221451;0,539193932
-39,5;0,933534743;0,577021277;0,422978723;0,356513467;0,643486533;0,337371184;0,51055602
-38,5;0,930513595;0,568510638;0,431489362;0,362002957;0,637997043;0,328032706;0,499024233
-37,5;0,927492447;0,559148936;0,440851064;0,368343511;0,631656489;0,317904878;0,486641383
-36,5;0,924471299;0,554042553;0,445957447;0,370428746;0,629571254;0,312667735;0,478513852
-35,5;0,921450151;0,545531915;0,454468085;0,375918236;0,624081764;0,303775149;0,466982066
-34,5;0,912386707;0,522553191;0,477446809;0,389833515;0,610166485;0,280737927;0,434939898
-33,5;0,906344411;0,515744681;0,484255319;0,39059973;0,60940027;0,274763945;0,422089092
-32,5;0,906344411;0,501276596;0,498723404;0,405067815;0,594932185;0,260049595;0,407621007
-31,5;0,903323263;0,492765957;0,507234043;0,410557305;0,589442695;0,25216468;0,39608922
-30,5;0,903323263;0,485106383;0,514893617;0,41821688;0,58178312;0,244674594;0,388429646
-29,5;0,888217523;0,462978723;0,537021277;0,425238799;0,574761201;0,226844621;0,351196246
-28,5;0,876132931;0,451914894;0,548085106;0,424218037;0,575781963;0,219570122;0,328047824
-27,5;0,870090634;0,442553191;0,557446809;0,427537443;0,572462557;0,212729771;0,312643826
-26,5;0,864048338;0,436595745;0,563404255;0,427452594;0,572547406;0,209098699;0,300644083
-25,5;0,86102719;0,426382979;0,573617021;0,434644212;0,565355788;0,201115886;0,287410169
-24,5;0,842900302;0,410212766;0,589787234;0,432687536;0,567312464;0,192954828;0,253113068
-23,5;0,83081571;0,4;0,6;0,43081571;0,56918429;0,188623324;0,23081571
-22,5;0,821752266;0,394042553;0,605957447;0,427709713;0,572290287;0,187041788;0,215794819
-21,5;0,818731118;0,386382979;0,613617021;0,432348139;0,567651861;0,182150214;0,205114097
-20,5;0,812688822;0,375319149;0,624680851;0,437369673;0,562630327;0,175949941;0,188007971
-19,5;0,80060423;0,356595745;0,643404255;0,444008485;0,555991515;0,166919198;0,157199974
-18,5;0,788519637;0,351489362;0,648510638;0,437030276;0,562969724;0,168268715;0,140008999
-17,5;0,782477341;0,342978723;0,657021277;0,439498618;0,560501382;0,164950512;0,125456065
-16,5;0,776435045;0,332765957;0,667234043;0,443669088;0,556330912;0,160714471;0,109201003
-15,5;0,776435045;0,321702128;0,678297872;0,454732918;0,545267082;0,153473548;0,098137173
-14,5;0,755287009;0,296170213;0,703829787;0,459116796;0,540883204;0,147601243;0,051457222
-13,5;0,743202417;0,285106383;0,714893617;0,458096034;0,541903966;0,147230648;0,0283088
-12,5;0,734138973;0,270638298;0,729361702;0,463500675;0,536499325;0,143927174;0,004777271
-11,5;0,722054381;0,261276596;0,738723404;0,460777785;0,539222215;0,145519227;0,016669024
-10,5;0,716012085;0,256170213;0,743829787;0,459841872;0,540158128;0,146272314;0,027817703
-9,5;0,682779456;0,233191489;0,766808511;0,449587967;0,550412033;0,155007144;0,084029054
-8,5;0,670694864;0,22212766;0,77787234;0,448567204;0,551432796;0,15778257;0,107177476
-7,5;0,655589124;0,213617021;0,786382979;0,441972103;0,558027897;0,164251083;0,130793855
-6,5;0,64652568;0,206808511;0,793191489;0,439717169;0,560282831;0,167713855;0,14666581
-5,5;0,640483384;0,194893617;0,805106383;0,445589767;0,554410233;0,167235719;0,164622999
-4,5;0,598187311;0,17787234;0,82212766;0,420314971;0,579685029;0,193092006;0,223940348
-3,5;0,592145015;0,169361702;0,830638298;0,422783313;0,577216687;0,195029075;0,238493283
-2,5;0,570996979;0,154893617;0,845106383;0,416103362;0,583896638;0,208035625;0,274109404
-1,5;0,555891239;0,147234043;0,852765957;0,408657196;0,591342804;0,218910455;0,296874719
-0,5;0,540785498;0,13787234;0,86212766;0,402913158;0,597086842;0,229886741;0,321342161
0,5;0,47734139;0,116595745;0,883404255;0,360745645;0,639254355;0,286766591;0,406062866
1,5;0,444108761;0,110638298;0,889361702;0,333470463;0,666529537;0,321255902;0,445252941
2,5;0,425981873;0,105531915;0,894468085;0,320449958;0,679550042;0,340633795;0,468486212
3,5;0,401812689;0,10212766;0,89787234;0,299685029;0,700314971;0,368258118;0,496059652
4,5;0,377643505;0,095319149;0,904680851;0,282324356;0,717675644;0,396413348;0,527037347
5,5;0,341389728;0,079148936;0,920851064;0,262240792;0,737759208;0,440032044;0,579461336
6,5;0,329305136;0,075744681;0,924255319;0,253560455;0,746439545;0,455568857;0,594950183
7,5;0,314199396;0,072340426;0,927659574;0,24185897;0,75814103;0,475555606;0,613460179
8,5;0,302114804;0,06893617;0,93106383;0,233178633;0,766821367;0,491795943;0,628949026
9,5;0,296072508;0,064680851;0,935319149;0,231391656;0,768608344;0,499697527;0,639246641
10,5;0,262839879;0,057021277;0,942978723;0,205818603;0,794181397;0,54665647;0,680138844
11,5;0,235649547;0,054468085;0,945531915;0,181181462;0,818818538;0,587198388;0,709882368
12,5;0,223564955;0,052765957;0,947234043;0,170798997;0,829201003;0,605635626;0,723669088
13,5;0,220543807;0,049361702;0,950638298;0,171182105;0,828817895;0,609988535;0,730094491
14,5;0,217522659;0,044255319;0,955744681;0,173267339;0,826732661;0,614229323;0,738222022
15,5;0,187311178;0,042553191;0,957446809;0,144757987;0,855242013;0,662273895;0,77013563
16,5;0,175226586;0,04;0,96;0,135226586;0,864773414;0,681851184;0,784773414
17,5;0,16918429;0,037446809;0,962553191;0,131737482;0,868262518;0,691657007;0,793368901
18,5;0,15407855;0,035744681;0,964255319;0,118333869;0,881666131;0,716860782;0,810176769
19,5;0,151057402;0,034042553;0,965957447;0,117014849;0,882985151;0,72186243;0,814900045
20,5;0,114803625;0,031489362;0,968510638;0,083314264;0,916685736;0,784564202;0,853707013
22;0,114803625;0,029787234;0,970212766;0,085016391;0,914983609;0,784459901;0,855409141
23,5;0,111782477;0,029787234;0,970212766;0,081995243;0,918004757;0,789817647;0,858430289
