Positive if Greater Than or Equal To;Sensitivity;1 - Specificity;Specificity;Youden's J;EMGO;Sum of Squares;Farrar
-101;1;1;0;0;1;1;1
-99;1;0,999199359;0,000800641;0,000800641;0,999199359;0,99839936;0,999199359
-96,5;1;0,995996797;0,004003203;0,004003203;0,995996797;0,992009621;0,995996797
-94,5;1;0,991192954;0,008807046;0,008807046;0,991192954;0,982463473;0,991192954
-93,5;1;0,990392314;0,009607686;0,009607686;0,990392314;0,980876935;0,990392314
-92,5;1;0,988791033;0,011208967;0,011208967;0,988791033;0,977707707;0,988791033
-91;1;0,985588471;0,014411529;0,014411529;0,985588471;0,971384634;0,985588471
-89,5;1;0,976781425;0,023218575;0,023218575;0,976781425;0,954101952;0,976781425
-88,5;1;0,96797438;0,03202562;0,03202562;0,96797438;0,936974399;0,96797438
-87,5;1;0,963170536;0,036829464;0,036829464;0,963170536;0,927697482;0,963170536
-86,5;1;0,959167334;0,040832666;0,040832666;0,959167334;0,920001974;0,959167334
-85,5;1;0,951160929;0,048839071;0,048839071;0,951160929;0,904707112;0,951160929
-84,5;1;0,934347478;0,065652522;0,065652522;0,934347478;0,87300521;0,934347478
-83,5;1;0,931144916;0,068855084;0,068855084;0,931144916;0,867030854;0,931144916
-82,5;1;0,92233787;0,07766213;0,07766213;0,92233787;0,850707147;0,92233787
-81,5;1;0,915932746;0,084067254;0,084067254;0,915932746;0,838932796;0,915932746
-80,5;0,997326203;0,908726982;0,091273018;0,088599222;0,911400778;0,825791876;0,906053185
-79,5;0,997326203;0,881505204;0,118494796;0,115820999;0,884179001;0,777058574;0,878831407
-78,5;0,994652406;0,875900721;0,124099279;0,118751686;0,881248314;0,767230669;0,870553127
-77,5;0,994652406;0,867894315;0,132105685;0,126758091;0,873241909;0,75326914;0,862546722
-76,5;0,994652406;0,853482786;0,146517214;0,14116962;0,85883038;0,728461463;0,848135193
-75,5;0,994652406;0,848678943;0,151321057;0,145973463;0,854026537;0,720284545;0,84333135
-74,5;0,994652406;0,824659728;0,175340272;0,169992679;0,830007321;0,680092263;0,819312134
-73,5;0,994652406;0,813450761;0,186549239;0,181201646;0,818798354;0,661730737;0,808103167
-72,5;0,994652406;0,802241793;0,197758207;0,192410613;0,807589387;0,643620492;0,7968942
-71,5;0,994652406;0,79663731;0,20336269;0,198015097;0,801984903;0,6346596;0,791289716
-70,5;0,99197861;0,789431545;0,210568455;0,202547064;0,797452936;0,623266507;0,781410155
-69,5;0,99197861;0,768614892;0,231385108;0,223363718;0,776636282;0,590833195;0,760593502
-68,5;0,99197861;0,755004003;0,244995997;0,236974606;0,763025394;0,570095388;0,746982613
-67,5;0,99197861;0,742994396;0,257005604;0,248984214;0,751015786;0,552105014;0,734973005
-66,5;0,989304813;0,737389912;0,262610088;0,251914901;0,748085099;0,543858269;0,726694725
-65,5;0,983957219;0,730184147;0,269815853;0,253773072;0,746226928;0,53342626;0,714141367
-64,5;0,978609626;0,717373899;0,282626101;0,261235727;0,738764273;0,515082859;0,695983525
-63,5;0,978609626;0,705364291;0,294635709;0,273245334;0,726754666;0,497996332;0,683973917
-62,5;0,978609626;0,688550841;0,311449159;0,290058785;0,709941215;0,474559808;0,667160466
-61,5;0,975935829;0,684547638;0,315452362;0,291388191;0,708611809;0,469184553;0,660483467
-60,5;0,970588235;0,669335468;0,330664532;0,301252767;0,698747233;0,448875021;0,639923704
-59,5;0,970588235;0,650120096;0,349879904;0,320468139;0,679531861;0,423521191;0,620708331
-58,5;0,967914439;0,64051241;0,35948759;0,327402029;0,672597971;0,411285631;0,608426848
-57,5;0,967914439;0,632506005;0,367493995;0,335408434;0,664591566;0,401093329;0,600420443
-56,5;0,965240642;0,623698959;0,376301041;0,341541683;0,658458317;0,390208605;0,588939601
-55,5;0,965240642;0,618094476;0,381905524;0,347146166;0,652853834;0,383248994;0,583335117
-54,5;0,962566845;0,599679744;0,400320256;0,362887101;0,637112899;0,361017036;0,562246589
-53,5;0,962566845;0,587670136;0,412329864;0,374896709;0,625103291;0,34675743;0,550236981
-52,5;0,959893048;0,57886309;0,42113691;0,381029958;0,618970042;0,336691045;0,538756139
-51,5;0,957219251;0,567654123;0,432345877;0,389565128;0,610434872;0,324061396;0,524873375
-50,5;0,957219251;0,559647718;0,440352282;0,397571533;0,602428467;0,315035761;0,51686697
-49,5;0,949197861;0,533226581;0,466773419;0,41597128;0,58402872;0,286911444;0,482424442
-48,5;0,949197861;0,526020817;0,473979183;0,423177044;0,576822956;0,279278757;0,475218678
-47,5;0,943850267;0,517213771;0,482786229;0,426636496;0,573363504;0,270662877;0,461064038
-46,5;0,943850267;0,50040032;0,49959968;0,443449947;0,556550053;0,253553273;0,444250588
-45,5;0,943850267;0,493995196;0,506004804;0,449855071;0,550144929;0,247184046;0,437845464
-44,5;0,941176471;0,475580464;0,524419536;0,465596006;0,534403994;0,229636986;0,416756935
-43,5;0,941176471;0,463570857;0,536429143;0,477605614;0,522394386;0,218358147;0,404747327
-42,5;0,941176471;0,457966373;0,542033627;0,483210097;0,516789903;0,213193407;0,399142844
-41,5;0,938502674;0,447558046;0,552441954;0,490944627;0,509055373;0,204090126;0,38606072
-40,5;0,93315508;0,441152922;0,558847078;0,492002158;0,507997842;0,199084144;0,374308003
-39,5;0,92513369;0,42113691;0,57886309;0,50399678;0,49600322;0,182961261;0,346270599
-38,5;0,922459893;0,412329864;0,587670136;0,510130029;0,489869971;0,176028385;0,334789757
-37,5;0,917112299;0,404323459;0,595676541;0,512788841;0,487211159;0,17034783;0,321435758
-36,5;0,906417112;0,389111289;0,610888711;0,517305823;0,482694177;0,160165352;0,295528401
-35,5;0,906417112;0,383506805;0,616493195;0,522910307;0,477089693;0,155835227;0,289923918
-34,5;0,895721925;0,361088871;0,638911129;0,534633054;0,465366946;0,14125909;0,256810796
-33,5;0,887700535;0,346677342;0,653322658;0,541023193;0,458976807;0,132796349;0,234377877
-32,5;0,882352941;0,340272218;0,659727782;0,542080723;0,457919277;0,129626013;0,222625159
-31,5;0,879679144;0,333867094;0,666132906;0,545812051;0,454187949;0,125944345;0,213546238
-30,5;0,877005348;0,326661329;0,673338671;0,550344019;0,449655981;0,121835308;0,203666677
-29,5;0,868983957;0,306645316;0,693354684;0,562338641;0,437661359;0,111196553;0,175629273
-28,5;0,86631016;0,29703763;0,70296237;0,56927253;0,43072747;0,106104327;0,163347791
-27,5;0,86631016;0,285028022;0,714971978;0,581282138;0,418717862;0,099113947;0,151338183
-26,5;0,860962567;0,278622898;0,721377102;0,582339669;0,417660331;0,096962127;0,139585465
-25,5;0,855614973;0,269815853;0,730184147;0,585799121;0,414200879;0,09364763;0,125430826
-24,5;0,847593583;0,258606886;0,741393114;0,588986697;0,411013303;0,090105237;0,106200468
-23,5;0,847593583;0,253002402;0,746997598;0,594591181;0,405408819;0,087237931;0,100595985
-22,5;0,834224599;0,247397918;0,752602082;0,586826681;0,413173319;0,088687214;0,081622517
-21,5;0,823529412;0,240992794;0,759007206;0,582536618;0,417463382;0,089219395;0,064522206
-20,5;0,818181818;0,23378703;0,76621297;0,584394789;0,415605211;0,087714226;0,051968848
-19,5;0,794117647;0,217774219;0,782225781;0,576343428;0,423656572;0,089813154;0,011891866
-18,5;0,794117647;0,212169736;0,787830264;0,581947911;0,418052089;0,08740354;0,006287383
-17,5;0,794117647;0,200160128;0,799839872;0,593957519;0,406042481;0,08245162;0,005722225
-16,5;0,788770053;0,194555645;0,805444355;0,594214409;0,405785591;0,082469989;0,016674302
-15,5;0,78342246;0,18734988;0,81265012;0,59607258;0,40392742;0,082005808;0,02922766
-14,5;0,745989305;0,176941553;0,823058447;0,569047752;0,430952248;0,095829747;0,077069142
-13,5;0,729946524;0,17213771;0,82786229;0,557808814;0,442191186;0,102560271;0,097915766
-12,5;0,711229947;0,162530024;0,837469976;0,548699923;0,451300077;0,109804152;0,126240029
-11,5;0,705882353;0,158526821;0,841473179;0,547355531;0,452644469;0,111635943;0,135590826
-10,5;0,703208556;0,150520416;0,849479584;0,55268814;0,44731186;0,110741557;0,146271028
-9,5;0,665775401;0,136909528;0,863090472;0,528865873;0,471134127;0,130450301;0,197315071
-8,5;0,64973262;0,136108887;0,863891113;0,513623733;0,486376267;0,141212866;0,214158493
-7,5;0,639037433;0,132105685;0,867894315;0,506931749;0,493068251;0,147745887;0,228856882
-6,5;0,625668449;0,127301841;0,872698159;0,498366608;0,501633392;0,156329869;0,247029709
-5,5;0,617647059;0,121697358;0,878302642;0,495949701;0,504050299;0,161004019;0,260655583
-4,5;0,585561497;0,110488391;0,889511609;0,475073107;0,524926893;0,183966957;0,303950112
